ID,course1,course2
67e4ec4fe5c0601815692fbd6d403fb7,Глубинное обучение в обработке звука,Байесовские методы машинного обучения
68f1b5165e9e310fcf920fb903117061,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
6a93b58f867db41e822a03c26c1bd428,Принятие решений в условиях риска и неопределённости,-
6a93fcbc79d0df6ddeba3b46739fc3d8,Глубинное обучение в обработке звука,Анализ неструктурированных данных
6b3d72def53597696afb19faed1f8365,Statistical Learning Theory,-
6cd7de3774f07c65e44668cdf7e987b6,Моделирование временных рядов,-
6ed89e424179b0510e3f7c0cb7369ad6,Моделирование временных рядов,-
6ef08b5cfd42ecdd713466cb4b7b41b7,Высокопроизводительные вычисления,-
6f1c603284d031570af2e4be6c1afdcb,Принятие решений в условиях риска и неопределённости,-
701078e1e897399f675e96bdda5fb149,Принятие решений в условиях риска и неопределённости,Сбор и обработка данных с помощью краудсорсинга
7134f24c241836458335aa3abb8d8727,Анализ неструктурированных данных,Глубинное обучение в обработке звука
71c8f779c794a59d749092a11a350557,Глубинное обучение в обработке звука,???
723d5f32b699c971b4095a017c883ffa,Statistical Learning Theory,-
72e79e6a79cb4025077b371cc6e54247,Теория баз данных,-
73282cacef07625adb2f9b4e2d57240e,Матричные вычисления,-
7378a3c0caf8ce5fdbb1e4370b346cb7,Глубинное обучение в обработке звука,-
73fc0f1b300e6e49167b5f771586fe20,Высокопроизводительные вычисления,-
757ce29d3647ee4aff21bc1a62849805,Глубинное обучение в обработке звука,Анализ неструктурированных данных
75be5480aae801322ab8ee4b8f4517a3,Глубинное обучение в обработке звука,Анализ неструктурированных данных
760529fb42ad1fd50071e2ceeadaaedc,Язык SQL,-
76d70b75a12f7b2ae593d02da6ed62ec,???,-
77c7b37ee521df16ccff23ba50c893d4,Высокопроизводительные вычисления,-
796d174c592006376963b8f31e818dbf,Моделирование временных рядов,-
79d14db48e4737af731960ae212d5134,Принятие решений в условиях риска и неопределённости,Анализ неструктурированных данных
79d226799eb1a34d5083fcc0ca933952,Безопасность компьютерных систем,-
7a21ef645ecb42198be493dd65320e78,Принятие решений в условиях риска и неопределённости,-
7af276b31fb741aa81baa85aa5c82bd9,Высокопроизводительные вычисления,-
7bf79897c5645954846e2e03ec803887,???,-
7df351e9f3a719f6c29e811e2578fcc6,Высокопроизводительные вычисления,-
7e844607673355cefa63252f558b69cb,Высокопроизводительные вычисления,-
7f8feb54319e52cb63ad437f4128a9d8,???,-
7f98e4487c7a910567f2d841e5e764c3,Анализ неструктурированных данных,-
7f9d0f835bf734ccd4619041c3475c1c,Statistical Learning Theory,-
7fcf56aae6836855a689000a50e80360,???,???
7fe7df0d207babbf30249b3063ac1f26,Высокопроизводительные вычисления,-
8047c18b3c531c6f47931e0744f3e028,Язык SQL,-
80a0660d40d5e2f3e3b9bb8a4383db74,Statistical Learning Theory,-
813663487952e66e7c39d29b0931206d,Язык SQL,-
82bc94a50a6c08a67ad9bf3d9791c459,Моделирование временных рядов,-
83981d0841bbb56201e68b2cba8dd87d,Высокопроизводительные вычисления,-
840716fde17a536f5e067546ab49a8a7,Глубинное обучение в обработке звука,Байесовские методы машинного обучения
840e108d7366fbf4f985f267c74ad523,Высокопроизводительные вычисления,-
842a87d59de90b711fe3266830fe608c,Высокопроизводительные вычисления,-
851497aadac83e844753bb3b2163c79b,Высокопроизводительные вычисления,-
86c24daaa62246142d46ee58534a65e0,Теория баз данных,-
86d929f6fd741e56e93cee5900298849,Сбор и обработка данных с помощью краудсорсинга,-
86eebda725013685effcb0c97591132e,Язык SQL,-
876b1fbacdfe36cb2e3927aea554b1ff,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
881b1a6fda195b354ae2edb396a69f5d,Анализ неструктурированных данных,Глубинное обучение в обработке звука
88ae08d9db8d34b267780ed642d0d2db,Statistical Learning Theory,-
8a1162ce3c94d8974210a24f4b4f5f74,Сбор и обработка данных с помощью краудсорсинга,-
8aa0f1b7331b49464174b02cd693be52,Теория баз данных,-
8c191b9ac692c190f54e66167b0adc3e,Statistical Learning Theory,-
8c3aa7371731bef999519c3de2c47423,Анализ неструктурированных данных,-
8cc921fb155319d983cf72e9a6e8caa8,Высокопроизводительные вычисления,Statistical Learning Theory
8e8d87fd686122d2c061d7b1eea2d3c5,Высокопроизводительные вычисления,-
8fe79f84f36e3a5d2d6745621321302c,???,-
9015b809a29fb65ce23d7addf16d770d,Моделирование временных рядов,Язык SQL
906692ccd33f59058380aac1598c5480,Анализ неструктурированных данных,Байесовские методы машинного обучения
93c0280966ae263fe26c5d78f719f2ae,Анализ неструктурированных данных,Байесовские методы машинного обучения
93da3d13e0ae40a97367b0c16d497399,Принятие решений в условиях риска и неопределённости,-
93ff79a51cd602f1dd3028ba2c129503,Язык SQL,-
95cf121698ebc89ac0cf74625d714d1d,Безопасность компьютерных систем,-
9750aa503b095b9297e1a778d6c7cc95,Теория баз данных,Язык SQL
976376a468b8f4d1e3c48f7acb29c2e4,Анализ неструктурированных данных,Байесовские методы машинного обучения
9775834d44b69d181c5fb0c0af57c783,Анализ неструктурированных данных,Байесовские методы машинного обучения
9808df02cd92ed45df39e6bc748f3179,Statistical Learning Theory,-
98c5a2548d93f26bd4195466e93178b3,Глубинное обучение в обработке звука,Байесовские методы машинного обучения
9963fc00d9405a35b894cc04a7e19855,Высокопроизводительные вычисления,-
9a66d84568b8017d98eb2e678b57296b,Глубинное обучение в обработке звука,Анализ неструктурированных данных
9abd31fe9761b5abd56524915237c1ea,Матричные вычисления,-
9c2251ef9825947b98265e4bfa887bcf,Матричные вычисления,-
9c656049fc55775bb9215d12aabf5881,Язык SQL,-
9d19b0d5f4fc8d7edc2258406f872c4e,Безопасность компьютерных систем,-
9f23846141606a1e26e8e4c28e9a7262,???,-
9fa4bc4eb50e574e88b670a86781860b,Язык SQL,-
a0c56e8aa03ea6c1f5e8462914472075,Сбор и обработка данных с помощью краудсорсинга,-
a1184a8dbbf9a7418b634339bed7e9b1,Сбор и обработка данных с помощью краудсорсинга,-
a19f36ae8465cac527e8ce7b6ebf1213,Язык SQL,-
a207faa550aba9ebf30537be445012cc,Глубинное обучение в обработке звука,-
a31027b4218c8cca257f9b9cd07791d2,Анализ неструктурированных данных,???
a37a88d97b12fe90dd83dd548866b2bb,Сбор и обработка данных с помощью краудсорсинга,-
a65d50ef4fadfac64508a54e972d8623,Высокопроизводительные вычисления,-
a69948a1730e412eab71a4d4e70791e2,Моделирование временных рядов,-
a6ce02b12540bca3cdd15757f8a2e919,Матричные вычисления,-
aa21f50934a72e00bbc7e65a54ea0bcc,Высокопроизводительные вычисления,-
ab5248060fbaac411a79a62dfb0d263d,Язык SQL,-
abceddfa2fc4eae8cff4a4e712abb3fb,Моделирование временных рядов,-
ac2fd77f2ec0186c95f16e6721fd5998,Матричные вычисления,-
ac3d08a6cc42a50f0ca53017b3ba5ba9,Матричные вычисления,-
ac4e2062ca444a506991c212bd2dd872,Матричные вычисления,-
addc4cb9d1641fa3f5dc02329c7e8d6c,Моделирование временных рядов,-
aeb7bb1e047c392b7e5e39225cd86422,Анализ неструктурированных данных,-
af20596134e83f3ca61259b325aa9688,Statistical Learning Theory,-
